 65657  862.80 1670.84 99.999  9.999 18.254   0   0 9.999 4960   0 0.435
 65658  893.06 1673.65 19.650  9.999 99.999  85   1 0.172    0   0 9.999
 65659  994.16 1676.16 20.480  2.589 17.891  87   0 0.115 5543   4 0.043
 65660  994.90 1672.63 20.883  2.213 18.670  86   0 0.160 5535   6 0.091
 65661  904.06 1673.87 20.284  2.014 18.270  87   0 0.153 5532  11 0.063
 65663  620.00 1674.63 22.128  3.239 18.889  79   0 0.412 5520   7 0.108
 65664  800.14 1674.85 21.152  2.152 19.001  84   0 0.214 5519  10 0.098
 65665  882.29 1679.42 21.123  9.999 99.999  80   0 0.391    0   0 9.999
 65666  885.17 1675.34 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 65667  931.88 1675.74 22.027  3.387 18.640  77   0 0.416 5522  11 0.067
 65668  711.90 1677.74 21.480  2.745 18.735  84   0 0.275 5414   5 0.241
 65669  944.46 1677.55 20.851  2.383 18.469  85   0 0.173 5529   8 0.058
 65670  762.48 1678.98 99.999  9.999 18.983   0   0 9.999 5537   4 0.129
 65671  781.39 1678.71 21.310  2.827 18.483  85   0 0.230 5522  14 0.065
 65672  966.26 1678.16 21.202  2.517 18.685  86   0 0.267 5539   8 0.110
 65674  721.65 1676.24 99.999  9.999 19.394   0   0 9.999 5148   0 0.349
 65675  989.58 1679.91 20.447  2.195 18.251  87   0 0.130 5530  10 0.051
 65676  814.17 1680.60 21.009  2.648 18.361  85   1 0.154 5530   8 0.057
 65677  993.67 1680.73 99.999  9.999 18.091   0   0 9.999 5537   7 0.050
 65680  589.67 1682.01 21.108  2.106 19.002  82   1 0.173 5528   6 0.103
 65681  858.67 1682.94 20.852  2.670 18.181  86   0 0.152 5523  16 0.066
 65682  959.22 1681.96 99.999  9.999 18.592   0   0 9.999 5527  10 0.123
 65684  686.72 1684.24 20.849  2.302 18.547  86   0 0.207 5532   9 0.108
 65687  836.26 1685.62 20.854  2.685 18.169  86   0 0.178 5539   2 0.063
 65688  795.17 1684.63 99.999  9.999 19.129   0   0 9.999 5515   8 0.143
 65695 1005.67 1666.28 99.999  9.999 18.966   0   0 9.999 5528   1 0.123
 65701  959.78 1671.62 21.346  2.105 19.241  85   0 0.239 5525   9 0.130
 67768  827.40 1660.46 21.954  2.103 19.851  75   1 0.334 5473   8 0.216
