2457437.88673 16.777 0.007 5.18 279.0
2457440.86790 16.794 0.009 4.68 542.0
2457444.89993 16.803 0.010 5.81 646.0
2457447.82453 16.793 0.007 4.48 401.0
2457451.83393 16.809 0.008 4.61 527.0
2457452.91073 16.794 0.008 4.81 711.0
2457455.86669 16.793 0.008 5.77 266.0
2457457.89421 16.801 0.008 5.01 352.0
2457460.89171 16.791 0.007 4.81 305.0
2457462.89608 16.796 0.007 5.09 271.0
2457465.85946 16.803 0.008 5.64 364.0
2457470.76336 16.788 0.011 6.40 555.0
2457471.85224 16.781 0.009 5.25 498.0
2457480.92039 16.813 0.013 7.27 524.0
2457485.83903 16.780 0.008 5.54 259.0
2457487.73337 16.799 0.008 5.07 311.0
2457488.85822 16.807 0.007 4.47 365.0
2457491.86732 16.779 0.007 4.42 268.0
2457492.88361 16.785 0.007 3.74 319.0
2457493.87066 16.789 0.006 4.08 224.0
2457494.85738 16.782 0.007 4.42 286.0
2457495.83554 16.814 0.009 6.22 292.0
2457498.72281 16.801 0.009 5.16 470.0
2457499.72506 16.792 0.009 5.58 503.0
2457499.92623 16.799 0.009 5.02 552.0
2457500.86819 16.807 0.010 5.63 547.0
2457508.65968 16.812 0.007 4.73 302.0
2457509.77666 16.797 0.008 6.12 302.0
2457511.85168 16.793 0.007 4.45 341.0
2457519.81850 16.814 0.009 5.95 405.0
2457526.66718 16.800 0.008 4.46 557.0
2457528.90262 16.807 0.011 6.21 770.0
2457534.68637 16.796 0.008 4.54 428.0
2457536.67886 16.810 0.008 5.30 299.0
2457545.84019 16.784 0.008 5.47 295.0
2457546.86414 16.790 0.010 6.19 387.0
2457547.53197 16.771 0.009 6.59 339.0
2457547.81524 16.808 0.008 6.07 235.0
2457549.70737 16.789 0.007 4.15 207.0
2457550.66661 16.795 0.009 6.78 243.0
2457554.62741 16.807 0.008 5.54 389.0
2457555.75577 16.788 0.008 4.88 378.0
2457557.69729 16.798 0.010 4.73 737.0
2457560.77556 16.797 0.012 5.85 1072.0
2457561.86183 16.821 0.012 5.56 1184.0
2457562.51041 16.802 0.009 6.42 345.0
2457566.72846 16.782 0.008 5.96 250.0
2457567.67077 16.802 0.008 4.88 346.0
2457568.64407 16.799 0.007 5.04 225.0
2457569.51242 16.795 0.009 6.15 372.0
2457569.68455 16.789 0.007 4.72 318.0
2457570.84980 16.802 0.010 8.18 337.0
2457573.69791 16.800 0.010 7.53 217.0
2457575.49081 16.780 0.010 6.62 289.0
2457575.82130 16.803 0.008 6.05 304.0
2457576.46594 16.797 0.009 5.69 470.0
2457576.83054 16.809 0.009 6.35 299.0
2457582.69891 16.785 0.009 6.47 306.0
2457582.71178 16.787 0.008 5.72 285.0
2457584.76098 16.795 0.009 6.31 425.0
2457589.76139 16.779 0.015 7.95 786.0
2457590.81024 16.822 0.015 7.66 775.0
2457593.74382 16.789 0.007 5.66 258.0
2457599.49523 16.818 0.009 5.42 319.0
2457599.56324 16.796 0.009 6.71 264.0
2457599.64055 16.811 0.009 5.60 246.0
2457599.67015 16.819 0.009 6.09 253.0
2457600.50475 16.813 0.010 6.91 272.0
2457600.59851 16.806 0.010 6.75 267.0
2457600.72436 16.771 0.008 6.88 477.0
2457601.72586 16.803 0.008 6.36 231.0
2457601.77066 16.778 0.009 7.18 280.0
2457603.50206 16.805 0.008 5.58 232.0
2457604.52533 16.802 0.009 6.26 295.0
2457605.54658 16.790 0.007 5.34 221.0
2457607.49178 16.798 0.008 5.93 257.0
2457608.62429 16.794 0.007 4.77 242.0
2457609.72691 16.793 0.009 6.38 283.0
2457612.48570 16.794 0.011 6.92 553.0
2457616.53493 16.794 0.008 4.84 522.0
2457617.68070 16.798 0.010 5.58 608.0
2457621.47802 16.784 0.009 6.32 339.0
2457622.67158 16.803 0.007 4.22 330.0
2457624.57577 16.813 0.008 5.84 262.0
2457626.56986 16.813 0.009 5.68 296.0
2457631.58811 16.801 0.007 5.34 260.0
2457633.65735 16.789 0.010 7.12 311.0
2457637.48491 16.817 0.009 6.56 284.0
2457639.59372 16.777 0.008 5.16 359.0
2457647.55262 16.793 0.010 6.42 535.0
2457650.59329 16.811 0.010 6.27 458.0
2457653.56231 16.800 0.007 5.04 303.0
2457656.53294 16.790 0.009 6.77 332.0
2457662.53112 16.785 0.010 6.99 429.0
2457664.52789 16.816 0.012 7.79 479.0
2457798.86465 16.813 0.009 5.09 438.0
2457803.84457 16.787 0.012 5.07 1313.0
2457809.89151 16.808 0.008 4.95 300.0
2457812.90579 16.816 0.009 4.36 687.0
2457816.86368 16.802 0.009 5.70 303.0
2457818.90653 16.810 0.009 4.40 713.0
2457821.86368 16.796 0.009 4.86 350.0
2457823.90405 16.797 0.008 4.80 430.0
2457826.82052 16.780 0.009 5.02 550.0
2457828.83843 16.791 0.009 5.04 454.0
2457830.88488 16.802 0.010 4.72 972.0
2457834.81539 16.790 0.008 5.11 290.0
2457835.90791 16.781 0.009 6.15 311.0
2457837.81181 16.807 0.008 5.91 224.0
2457838.88353 16.795 0.008 4.91 285.0
2457840.75717 16.796 0.009 5.98 263.0
2457841.83069 16.809 0.009 6.61 240.0
2457842.87125 16.812 0.009 6.24 267.0
2457843.92214 16.803 0.009 5.58 375.0
2457845.75401 16.808 0.009 6.79 261.0
2457846.81699 16.796 0.008 5.46 227.0
2457847.85298 16.776 0.008 5.49 242.0
2457848.88309 16.802 0.008 5.07 218.0
2457849.91347 16.781 0.007 3.99 263.0
2457851.73049 16.801 0.010 6.22 448.0
2457852.85180 16.816 0.010 7.37 305.0
2457854.77669 16.810 0.009 5.29 488.0
2457855.82276 16.801 0.009 4.94 529.0
2457856.84927 16.793 0.010 6.02 500.0
2457862.72974 16.818 0.009 5.74 312.0
2457863.80991 16.791 0.008 5.39 275.0
2457864.78372 16.794 0.007 3.70 250.0
2457865.77785 16.794 0.007 4.12 265.0
2457866.79930 16.786 0.007 4.54 268.0
2457867.82848 16.794 0.007 4.07 245.0
2457868.91868 16.809 0.011 7.07 321.0
2457869.91880 16.807 0.007 3.60 346.0
2457871.70330 16.788 0.007 3.98 276.0
2457872.71237 16.796 0.007 3.88 279.0
2457873.71479 16.806 0.007 3.87 284.0
2457874.69030 16.796 0.008 5.18 313.0
2457875.75725 16.799 0.009 5.64 294.0
2457876.73300 16.803 0.008 4.60 323.0
2457877.71022 16.793 0.008 4.19 324.0
2457878.74931 16.800 0.007 3.49 354.0
2457879.72333 16.799 0.010 6.50 366.0
2457880.76751 16.813 0.009 5.25 379.0
2457881.86520 16.791 0.010 5.25 480.0
2457882.87094 16.806 0.010 5.34 519.0
2457890.79108 16.795 0.012 6.80 494.0
2457893.77228 16.790 0.008 5.31 302.0
2457894.65409 16.788 0.008 5.00 316.0
2457894.90648 16.801 0.009 5.61 354.0
2457897.71140 16.804 0.009 6.27 273.0
2457901.81870 16.798 0.009 5.67 304.0
2457902.78507 16.795 0.008 4.76 297.0
2457903.86179 16.800 0.009 5.38 344.0
2457904.77811 16.797 0.007 3.95 221.0
2457905.63184 16.804 0.008 4.94 278.0
2457905.88725 16.805 0.009 4.70 435.0
2457906.78969 16.791 0.007 3.73 346.0
2457907.67443 16.793 0.008 4.44 486.0
2457908.62841 16.798 0.009 5.07 433.0
2457908.88302 16.781 0.009 6.13 406.0
2457909.75941 16.790 0.008 4.13 546.0
2457910.55134 16.800 0.011 5.60 671.0
2457910.80146 16.798 0.008 4.51 449.0
2457911.66781 16.788 0.010 5.35 520.0
2457916.63210 16.786 0.008 4.11 591.0
2457916.84685 16.779 0.009 4.90 639.0
2457917.70017 16.779 0.009 5.00 379.0
2457918.56680 16.809 0.008 5.52 463.0
2457922.64362 16.796 0.008 4.90 313.0
2457923.67533 16.790 0.008 5.30 288.0
2457924.50606 16.790 0.009 5.20 371.0
2457924.75393 16.796 0.008 4.21 277.0
2457925.65096 16.801 0.007 4.08 231.0
2457926.57321 16.808 0.009 6.23 299.0
2457928.65075 16.792 0.008 5.34 275.0
2457932.69143 16.807 0.011 7.09 292.0
2457933.55680 16.802 0.010 7.46 267.0
2457934.49761 16.801 0.009 5.19 371.0
2457934.74325 16.794 0.008 4.53 278.0
2457935.58539 16.793 0.008 4.40 287.0
2457935.85457 16.808 0.008 5.74 318.0
2457936.73603 16.808 0.009 6.23 244.0
2457937.55764 16.794 0.009 5.39 384.0
2457937.81517 16.818 0.010 7.04 283.0
2457944.48687 16.805 0.010 5.28 632.0
2457944.59050 16.806 0.009 4.11 559.0
2457944.70307 16.807 0.009 5.17 483.0
2457944.81445 16.793 0.015 8.07 723.0
2457945.66914 16.822 0.008 4.25 341.0
2457946.50720 16.797 0.008 4.85 270.0
2457946.77374 16.828 0.010 6.70 354.0
2457947.72500 16.812 0.010 6.49 310.0
2457948.60034 16.782 0.007 5.02 237.0
2457949.54731 16.804 0.011 6.85 430.0
