 11597  549.51 2220.35 99.999  9.999 20.255   0   0 9.999  383   1 0.237
 12270  525.39 1922.99 99.999  9.999 20.233   0   0 9.999  389   1 0.215
 12275  538.76 1923.10 99.999  9.999 20.270   0   0 9.999  387   0 0.209
 12301  519.71 1936.62 99.999  9.999 20.109   0   0 9.999  392   0 0.207
 12308  543.33 1941.52 99.999  9.999 19.980   0   0 9.999  394   0 0.240
 12319  516.70 1945.55 99.999  9.999 19.842   0   0 9.999  394   1 0.165
 12320  529.46 1946.15 99.999  9.999 19.854   0   0 9.999  388   1 0.206
 12333  522.77 1951.87 99.999  9.999 18.972   0   0 9.999  393   2 0.079
 12340  513.19 1952.38 99.999  9.999 19.772   0   0 9.999  394   1 0.143
 12367  526.32 1962.49 99.999  9.999 20.075   0   0 9.999  387   0 0.186
 12397  548.29 1975.56 99.999  9.999 19.716   0   0 9.999  393   1 0.143
 12405  543.61 1979.31 99.999  9.999 19.466   0   0 9.999  392   0 0.114
 12408  521.16 1980.95 99.999  9.999 19.479   0   0 9.999  393   1 0.120
 12455  540.34 2002.58 99.999  9.999 19.644   0   0 9.999  392   0 0.139
 12462  527.88 2004.49 99.999  9.999 19.726   0   0 9.999  390   1 0.136
 12470  536.72 2008.68 99.999  9.999 20.402   0   0 9.999  387   0 0.273
 12475  548.56 2012.54 99.999  9.999 20.192   0   0 9.999  387   0 0.234
 12478  529.48 2013.89 99.999  9.999 20.161   0   0 9.999  392   0 0.196
 12516  541.96 2030.39 99.999  9.999 19.694   0   0 9.999  391   0 0.153
 12522  530.50 2031.58 99.999  9.999 19.786   0   0 9.999  388   1 0.145
 12530  525.13 2033.34 99.999  9.999 20.054   0   0 9.999  390   1 0.200
 12537  527.55 2037.68 99.999  9.999 20.091   0   0 9.999  387   0 0.200
 12549  542.67 2040.62 99.999  9.999 19.550   0   0 9.999  395   0 0.130
 12566  525.78 2045.85 99.999  9.999 19.517   0   0 9.999  392   2 0.117
 12567  532.35 2046.80 99.999  9.999 19.755   0   0 9.999  392   0 0.148
 12613  521.14 2062.24 99.999  9.999 19.936   0   0 9.999  388   1 0.203
 12630  530.30 2071.14 99.999  9.999 20.262   0   0 9.999  373   0 0.344
 12634  521.97 2072.68 99.999  9.999 20.078   0   0 9.999  386   1 0.243
 12645  548.87 2075.72 99.999  9.999 19.424   0   0 9.999  392   1 0.118
 12651  514.05 2077.87 99.999  9.999 20.117   0   0 9.999  391   1 0.219
 12699  514.27 2102.39 99.999  9.999 19.578   0   0 9.999  392   1 0.121
 12712  535.98 2107.28 99.999  9.999 19.687   0   0 9.999  395   1 0.152
 12738  531.47 2117.17 99.999  9.999 19.772   0   0 9.999  391   1 0.180
 12753  525.65 2120.71 99.999  9.999 19.439   0   0 9.999  396   0 0.131
 12763  532.67 2125.69 99.999  9.999 19.992   0   0 9.999  395   0 0.213
 12774  540.41 2129.34 99.999  9.999 19.658   0   0 9.999  390   0 0.143
 12791  516.70 2134.99 99.999  9.999 19.512   0   0 9.999  391   1 0.112
 12792  523.90 2137.12 99.999  9.999 19.411   0   0 9.999  394   1 0.108
 12810  534.80 2142.52 99.999  9.999 20.216   0   0 9.999  388   1 0.230
 12853  541.18 2159.96 99.999  9.999 20.108   0   0 9.999  389   0 0.226
 12875  525.21 2169.00 21.933  2.346 19.586  19   0 0.273  387   3 0.130
 12876  540.46 2167.10 99.999  9.999 19.805   0   0 9.999  390   0 0.163
 12895  535.68 2176.25 22.245  2.472 19.774  19   0 0.303  392   1 0.153
 12919  520.27 2184.46 99.999  9.999 19.641   0   0 9.999  394   0 0.151
 12920  543.93 2185.90 99.999  9.999 19.620   0   0 9.999  371   0 0.302
 12923  532.64 2185.37 99.999  9.999 20.018   0   0 9.999  389   0 0.208
 12924  515.10 2187.78 99.999  9.999 19.489   0   0 9.999  395   0 0.132
 12925  526.82 2188.04 99.999  9.999 19.772   0   0 9.999  393   0 0.152
 12966  528.15 2205.62 21.753  2.261 19.492  21   0 0.200  391   1 0.117
 12971  532.81 2204.80 99.999  9.999 19.717   0   0 9.999  393   0 0.142
 13001  519.94 2217.80 22.046  2.597 19.449  22   0 0.276  393   1 0.112
 13013  516.97 2222.77 21.769  2.529 19.240  22   0 0.255  394   0 0.100
 13014  528.37 2222.46 99.999  9.999 19.742   0   0 9.999  393   1 0.193
 13031  515.42 2232.21 99.999  9.999 19.837   0   0 9.999  389   0 0.157
 13042  529.81 2235.55 22.009  2.805 19.204  21   0 0.249  394   1 0.093
 13080  532.96 2247.19 99.999  9.999 19.673   0   0 9.999  394   1 0.149
 13101  532.29 2084.50 21.847  2.294 19.553  21   1 0.251  395   0 0.131
 13106  542.37 2239.20 99.999  9.999 19.990   0   0 9.999  392   0 0.186
 13445  543.73 1921.42 99.999  9.999 20.759   0   0 9.999  372   1 0.335
 13456  540.93 1928.26 99.999  9.999 20.666   0   0 9.999  375   0 0.346
 13461  514.41 1931.51 99.999  9.999 20.493   0   0 9.999  385   0 0.280
 13467  524.96 1935.72 99.999  9.999 20.386   0   0 9.999  386   0 0.251
 13473  549.11 1940.67 99.999  9.999 20.166   0   0 9.999  388   0 0.236
 13492  543.88 1952.24 99.999  9.999 20.423   0   0 9.999  389   0 0.291
 13494  536.36 1952.58 99.999  9.999 20.538   0   0 9.999  377   1 0.294
 13498  514.18 1956.38 99.999  9.999 20.225   0   0 9.999  391   0 0.229
 13511  547.12 1965.77 99.999  9.999 20.425   0   0 9.999  384   0 0.264
 13518  537.77 1972.40 99.999  9.999 20.286   0   0 9.999  386   1 0.241
 13538  529.49 1986.48 99.999  9.999 20.672   0   0 9.999  380   1 0.327
 13563  516.72 2013.69 99.999  9.999 20.397   0   0 9.999  389   0 0.256
 13580  546.83 2022.69 99.999  9.999 20.202   0   0 9.999  387   0 0.212
 13586  541.33 2026.30 99.999  9.999 20.428   0   0 9.999  385   1 0.257
 13598  516.03 2032.23 99.999  9.999 20.715   0   0 9.999  377   0 0.305
 13601  541.53 2033.17 99.999  9.999 20.241   0   0 9.999  385   0 0.230
 13646  531.65 2075.16 99.999  9.999 20.537   0   0 9.999  362   0 0.323
 13656  513.09 2085.51 99.999  9.999 20.858   0   0 9.999  381   0 0.379
 13680  525.74 2103.82 99.999  9.999 20.375   0   0 9.999  387   1 0.264
 13714  537.37 2135.08 99.999  9.999 20.390   0   0 9.999  383   1 0.267
 13723  525.53 2140.26 99.999  9.999 20.166   0   0 9.999  392   0 0.203
 13728  545.84 2146.79 99.999  9.999 20.466   0   0 9.999  384   0 0.250
 13745  530.06 2164.03 99.999  9.999 20.534   0   0 9.999  379   0 0.313
 13754  535.54 2172.50 99.999  9.999 20.385   0   0 9.999  385   0 0.261
 13768  535.16 2179.72 99.999  9.999 20.270   0   0 9.999  386   1 0.232
 13784  539.89 2189.75 99.999  9.999 20.229   0   0 9.999  342   0 0.364
 13798  544.58 2200.04 99.999  9.999 20.145   0   0 9.999  367   0 0.299
 13832  534.23 2216.88 99.999  9.999 20.788   0   0 9.999  365   0 0.353
 13845  528.50 2228.96 99.999  9.999 20.400   0   0 9.999  390   0 0.281
 13932  521.29 2262.94 19.387  3.061 16.326  21   1 0.038  396   1 0.010
 13946  513.74 2344.68 19.634  3.009 16.624  22   0 0.031  395   1 0.011
 13948  543.50 2369.76 19.427  3.212 16.215  22   0 0.027  396   1 0.010
 14003  516.07 2287.72 19.613  2.870 16.743  22   0 0.032  397   0 0.014
 14007  522.16 2296.51 19.317  2.060 17.257  22   0 0.027  396   0 0.019
 14020  538.52 2340.30 19.390  2.796 16.594  22   0 0.035  396   0 0.012
 14167  532.96 2267.98 20.836  2.944 17.893  21   1 0.106  395   1 0.032
 14389  529.70 2261.82 21.709  2.778 18.931  22   0 0.260  392   2 0.075
 14403  526.69 2275.45 21.109  2.533 18.576  22   0 0.105  395   0 0.056
 14404  522.71 2275.94 99.999  9.999 19.152   0   0 9.999  393   1 0.095
 14408  511.59 2280.06 21.613  2.550 19.062  22   0 0.193  391   2 0.094
 14412  529.49 2284.48 21.239  2.221 19.019  21   0 0.153  393   0 0.076
 14415  524.81 2287.48 99.999  9.999 18.827   0   0 9.999  395   0 0.064
 14422  531.60 2296.25 21.608  2.583 19.025  22   0 0.134  394   0 0.079
 14430  528.00 2303.94 21.612  2.715 18.898  22   0 0.203  392   0 0.063
 14433  511.48 2310.60 21.299  2.968 18.332  21   0 0.115  395   1 0.057
 14447  511.94 2323.65 99.999  9.999 18.884   0   0 9.999  393   2 0.126
 14453  515.17 2328.28 99.999  9.999 19.023   0   0 9.999  394   0 0.081
 14458  537.45 2330.21 21.812  2.583 19.230  21   0 0.248  392   1 0.095
 14461  516.46 2334.24 21.695  2.669 19.026  22   0 0.157  391   2 0.081
 14473  547.44 2347.31 20.940  2.448 18.492  22   0 0.141  395   1 0.050
 14495  532.33 2372.12 21.775  2.722 19.053  21   0 0.185  393   1 0.087
 14497  537.80 2372.86 21.454  2.493 18.961  21   0 0.163  395   1 0.083
 14505  545.20 2376.92 99.999  9.999 18.819   0   0 9.999  394   1 0.066
 14830  526.08 2258.84 99.999  9.999 19.761   0   0 9.999  394   0 0.175
 14833  530.20 2276.64 99.999  9.999 19.576   0   0 9.999  394   0 0.133
 14879  520.48 2248.90 99.999  9.999 19.868   0   0 9.999  387   2 0.158
 14883  538.41 2253.21 99.999  9.999 19.649   0   0 9.999  393   1 0.124
 14925  538.54 2268.34 22.179  2.770 19.409  18   0 0.180  394   0 0.117
 14932  511.24 2271.49 99.999  9.999 20.144   0   0 9.999  390   0 0.216
 14943  513.28 2277.24 99.999  9.999 19.933   0   0 9.999  391   1 0.191
 14947  546.19 2278.95 99.999  9.999 20.021   0   0 9.999  391   0 0.180
 14975  520.00 2293.28 99.999  9.999 19.411   0   0 9.999  394   0 0.131
 14980  530.25 2293.73 99.999  9.999 20.331   0   0 9.999  387   0 0.255
 14991  534.94 2299.69 21.672  2.359 19.313  23   0 0.268  394   0 0.103
 15001  519.80 2301.83 99.999  9.999 19.749   0   0 9.999  392   1 0.161
 15011  536.81 2303.28 99.999  9.999 19.595   0   0 9.999  392   2 0.124
 15036  514.14 2318.07 99.999  9.999 19.750   0   0 9.999  389   0 0.236
 15047  527.00 2323.65 99.999  9.999 19.282   0   0 9.999  394   1 0.094
 15056  522.17 2324.85 99.999  9.999 20.184   0   0 9.999  391   0 0.207
 15080  512.78 2332.85 99.999  9.999 20.004   0   0 9.999  390   1 0.202
 15086  536.66 2336.03 99.999  9.999 19.483   0   0 9.999  389   3 0.138
 15090  520.43 2337.06 99.999  9.999 19.726   0   0 9.999  391   0 0.136
 15102  532.65 2340.92 99.999  9.999 20.073   0   0 9.999  385   1 0.227
 15130  532.82 2355.04 99.999  9.999 20.143   0   0 9.999  391   1 0.214
 15160  514.64 2367.67 99.999  9.999 20.127   0   0 9.999  394   0 0.207
 15170  515.92 2373.53 99.999  9.999 19.755   0   0 9.999  394   0 0.162
 15175  523.84 2373.73 99.999  9.999 20.173   0   0 9.999  389   2 0.205
 16158  543.37 2248.11 99.999  9.999 20.766   0   0 9.999  385   0 0.332
 16177  542.59 2267.99 99.999  9.999 20.252   0   0 9.999  385   1 0.228
 16200  530.45 2280.96 99.999  9.999 20.197   0   0 9.999  393   0 0.223
 16207  531.79 2288.18 99.999  9.999 20.193   0   0 9.999  386   1 0.217
 16216  549.84 2294.93 99.999  9.999 20.386   0   0 9.999  392   0 0.272
 16225  530.37 2300.19 99.999  9.999 20.199   0   0 9.999  390   0 0.233
 16241  541.86 2314.53 99.999  9.999 20.573   0   0 9.999  379   0 0.299
 16249  528.81 2319.37 99.999  9.999 20.560   0   0 9.999  387   0 0.301
 16254  516.23 2322.41 99.999  9.999 20.264   0   0 9.999  388   0 0.269
 16278  525.49 2342.61 99.999  9.999 20.660   0   0 9.999  377   0 0.321
 16296  549.85 2352.90 99.999  9.999 20.037   0   0 9.999  391   0 0.206
 16311  535.93 2368.59 99.999  9.999 20.306   0   0 9.999  384   0 0.267
 37332  575.13 1962.09 18.862  5.117 13.745  23   0 0.147  398   0 0.064
 37333  750.43 1983.88 15.953  2.540 13.412  23   0 0.005  397   1 0.005
 37334  750.53 2034.75 18.465  5.150 13.315  23   0 0.151  398   0 0.067
 37342  703.83 1917.20 18.619  3.990 14.629  23   0 0.023  398   0 0.007
 37343  815.26 1933.37 19.652  5.679 13.973  22   0 0.202  398   0 0.103
 37344  762.10 1942.99 17.954  3.908 14.046  23   0 0.027  398   0 0.010
 37345  795.15 1974.51 18.284  3.480 14.804  23   0 0.019  398   0 0.006
 37346  922.13 1983.30 19.612  4.999 14.613  22   0 0.064  398   0 0.014
 37347  921.64 2013.28 20.450  5.929 14.521  22   0 0.321  398   0 0.170
 37348  924.38 2018.62 19.578  4.807 14.771  22   0 0.051  398   0 0.043
 37349  711.66 2026.79 17.650  2.957 14.693  23   0 0.021  398   0 0.016
 37350  827.28 2034.90 19.243  4.828 14.415  22   0 0.196  398   0 0.094
 37351  859.94 2064.52 20.912  6.085 14.827  23   0 0.190  398   0 0.092
 37352  796.80 2107.50 17.901  3.955 13.946  23   0 0.024  398   0 0.009
 37353  601.92 2142.73 18.372  4.360 14.012  23   0 0.026  398   0 0.007
 37354  784.93 2144.25 17.689  2.999 14.690  23   0 0.012  397   1 0.005
 37355  771.74 2173.22 17.527  3.600 13.927  23   0 0.167  398   0 0.100
