OGLE-2019-BLG-0277

Field          BLG514.31
StarNo         54437
RA(J2000.0)    18:01:52.76
Dec(J2000.0)   -30:36:41.6
Remarks        

  Tmax   2458593.624     0.026
  tau         26.959     0.047
  umin         0.565     0.001
  Amax         1.974     0.002
  Dmag         0.738     0.000
  fbl          1.000     0.000
  I_bl        15.112     0.000
  I0          15.112     0.000
